TaskID,synthesized,correct_or_not,desired_or_not
17,"MATCH (u1:User)-[:FOLLOWS]->(u2:User) RETURN u1, u2",TRUE,TRUE
18,MATCH (n:Node) RETURN exists(n.worked) + exists(n.retired),TRUE,FALSE
19,"MATCH (a:Airport) RETURN a.city, sum(a.capacity)",TRUE,TRUE
20,"MATCH (:User)-[r:relation]->(n:Node) RETURN r.uuid, max(n.value), min(n.value)",TRUE,TRUE
21,"MATCH (c:wine_critic)-[r:REVIEW]->(b:wine_bottle) RETURN c.name, b.name, max(r.score), min(r.score)",TRUE,TRUE
22,"MATCH (p:Person) RETURN any_value(p.name), count(p), min(p.age), max(p.age)",FALSE,FALSE
23,"MATCH (p:Person) RETURN p.name, p.age, count(p)",TRUE,TRUE
24,MATCH (m:Movie) RETURN m.title,TRUE,TRUE
25,"MATCH (n:Node) RETURN any_value(n.name), sum(n.number)",FALSE,FALSE
26,"MATCH (t:Tutor)-[:WORKS_AT]->(d:Department {name: """"Science""""}), (t)-[r:RESPONSIBLE_FOR]->(c:Course) WHERE t.name = """"Maria Smith"""" RETURN t.name, r, c",TRUE,TRUE
27,"MATCH (s1:Student)-[:ENROLLEDIN]->(c:Course)<-[:ENROLLEDIN]-(s2:Student) WHERE s1.lastname = s2.lastname AND s1.firstname <> s2.firstname RETURN s1.firstname, s2.firstname, c.name",TRUE,FALSE
28,"MATCH (:Person {name: ""Tom Cruise""})-[:ACTED_IN]->(m:Movie) RETURN m.title",TRUE,TRUE
29,MATCH (m:Movie) WHERE m.released = 2000 RETURN m.title,TRUE,TRUE
30,"MATCH (g:Group)-[:R]->(a:Age), (g)-[:R]->(c:City) RETURN a, c, g",TRUE,TRUE
31,MATCH (p:Person) WHERE p.name = 'Mark' RETURN p,TRUE,TRUE
32,"MATCH (c:Client)-[r:CONTAINS]->(t:Transaction)-[:INCLUDES]->(i:Item) WHERE r.created = 'yesterday' RETURN c, t, i",TRUE,TRUE
33,"MATCH (p:Person)-[r:ACTED_IN]->(m:Movie) WHERE p.name = 'Tom Hanks' RETURN p, r, m",TRUE,TRUE
34,MATCH (u:User)-[:HAS_HOBBY]->(h:Hobby) WHERE h.name = 'Sport' OR h.name = 'Music' RETURN u,TRUE,TRUE
35,"MATCH (u:User)-[:likes]->(i:Item) WITH i, count(u) AS c WHERE c > 1 MATCH (u:User)-[:likes]->(i) RETURN u, count(i)",TRUE,FALSE
36,"MATCH (:Person)-[r:KNOWS]->(:Person) RETURN sum(r.duration), avg(r.duration)",TRUE,TRUE
37,MATCH (t:Tutor) WHERE t.name = 'Maria Smith' RETURN t,TRUE,FALSE
38,"MATCH (t:Tutor)-[:RESPONSIBLE_FOR]->(c:Course) RETURN t.name, c",TRUE,TRUE
39,"MATCH (t:Tutor)-[:WORKS_AT]->(d:Department), (t)-[r:RESPONSIBLE_FOR]->(c:Course) WHERE d.department = 'Science' OR d.department = 'Economics' RETURN t.name, r, c",FALSE,FALSE
40,MATCH (s:Student) WHERE s.class = 'Sophomore' RETURN avg(s.GPA),TRUE,TRUE
41,MATCH (q:Question)-[:TAGGED]->(t:Tag) WHERE t.name CONTAINS 'sql' OR t.name = 'java' OR t.name = 'c++' RETURN q.viewCount,FALSE,FALSE
42,"MATCH (p:Person)-[:WROTE]->(m:Movie) RETURN p.name, m.title",TRUE,TRUE
43,MATCH (u:User)-[:USES]->(t:Tool) WHERE u.name STARTS WITH 'J' AND t.weight > 50 RETURN u.name,FALSE,FALSE
44,"MATCH (c:ProductionCompany)-[:PRODUCED]->(m:Movie) WHERE m.year >= ""2008"" RETURN c.name, m.title",FALSE,FALSE
45,"MATCH (p:Place)-[:IS_A]->(c:Category) WITH p.name AS placeName, count(*) AS cnt, collect(p) AS places WHERE cnt = 1 UNWIND places AS p RETURN p",TRUE,FALSE
46,MATCH (p:Place)-[:IS_A]->(c:Category) WHERE c.name = 'Food' RETURN p,FALSE,FALSE
47,MATCH (p:Person)-[:WORKS_AT]->(b:Bank)<-[:BANKS_AT]-(:Person) RETURN p,TRUE,FALSE
48,"MATCH (s:Student)-[:Follow]->(c:Course) WHERE c.course_nb = '1' RETURN s.name, c.coursename",TRUE,TRUE
49,"MATCH (u1:User)-[:INTERACTS_WITH]->(u2:User) RETURN u1.name, u2.name",TRUE,TRUE
50,"MATCH (a:Node)-[r1:r]->(b:Node)-[r2:r]->(c:Node) WHERE r2.ref_id = '0001' AND r2.cid = '02' RETURN a, b, c",TRUE,TRUE
51,MATCH (m:movie) WHERE toInteger(m.movie_id) <= 3 RETURN m,TRUE,FALSE
52,"MATCH (s:Sample)-[:Measures]->(g:Gene)-[:Part_Of]->(p:Pathway) WHERE p.pathwayName = 'Pyrimidine metabolism' RETURN s, g.geneName",TRUE,TRUE
53,"MATCH (:Order)-[:ORDERS]->(p:Product)-[:PART_OF]->(c:Category) RETURN c.categoryName, p.productName",FALSE,FALSE
54,MATCH (:Order)-[:ORDERS]->(p:Product) RETURN p.productName,TRUE,TRUE
55,MATCH (o:Order)-[r:ORDERS]->(p:Product) WHERE o.shipCountry <> 'Mexico' RETURN p.productName,FALSE,FALSE
56,"MATCH (:Me)-[:INTERACT_WITH]->(u:User) RETURN max(u.follwers), min(u.follwers), avg(u.follwers), count(u.follwers)",TRUE,FALSE
57,"MATCH (m:Me)-[:AMPLIFIES]->(u1:User), (m)-[:FOLLOWS]->(u2:User) RETURN any(u1.name), (max(u1.follwers) / avg(u1.follwers)) - (min(u1.follwers) / avg(u1.follwers)), (max(u2.follwers) / avg(u2.follwers)) - (min(u2.follwers) / avg(u2.follwers))",FALSE,FALSE
58,"MATCH (m:Me)-[:AMPLIFIES]->(u1:User),       (m)-[:FOLLOWS]->(u2:User) RETURN any(m.name),        (max(u1.following) - min(u1.following)),        (max(u2.following) - min(u2.following))",FALSE,FALSE
59,"MATCH (:User)-[:FOLLOWS]->(:Me)-[:AMPLIFIES]->(u:User) WITH u MATCH (f:User)-[:FOLLOWS]->(:Me) RETURN any(u.name), max(f.follwers), min(f.follwers), avg(f.following)",FALSE,FALSE
60,"MATCH (u:User)-[:POSTS]->(t:Tweet)-[:RETWEETS]->(:Tweet) RETURN u.name, t.text",TRUE,TRUE
61,"MATCH (t:Tweet)-[:USING]->(s:Source) RETURN t.text, s.name",TRUE,TRUE
62,"MATCH (m:Me)-[:FOLLOWS]->(u:User) MATCH (m)-[:AMPLIFIES]->(a:User) RETURN any(a), max(u.following), count(u.following), min(u.following), avg(u.following)",FALSE,FALSE
63,"MATCH (:Me)-[:FOLLOWS]->(u:User)<-[:AMPLIFIES]-(a:Me) RETURN any(a.name), max(u.follwers), count(u)",FALSE,FALSE
64,"MATCH (m:Me)-[:FOLLOWS]->(:User)-[:POSTS]->(t:Tweet)-[:TAGS]->(h:Hashtag), (t)-[:CONTAINS]->(l:Link), (t)-[:USING]->(s:Source) RETURN m, t, h, l, s",TRUE,TRUE
65,"MATCH (c:Customer)-[:PURCHASED]->(:Order)-[:ORDERS]->(p:Product)-[:PART_OF]->(cat:Category)<-[:PART_OF]-(:Product)<-[:ORDERS]-(:Order)<-[:PURCHASED]-(:Customer),(s:Supplier)-[:SUPPLIES]->(p) RETURN c.name, cat.name, s.companyName, p.productName",FALSE,FALSE
66,"MATCH (c:Customer)-[:PURCHASED]->(:Order)-[:ORDERS]->(p:Product)-[:PART_OF]->(:Category)<-[:PART_OF]-(:Product)<-[:ORDERS]-(:Order)<-[:PURCHASED]-(:Customer),(s:Supplier)-[:SUPPLIES]->(p) RETURN c.name, s.companyName, p.productName",FALSE,FALSE
67,"MATCH (s:Supplier)-[:SUPPLIES]->(p:Product)<-[:ORDERS]-(:Order)<-[:PURCHASED]-(:Customer) WHERE s.country = 'Singapore' AND p.unitPrice < 300 RETURN s.companyName, p.productName",TRUE,FALSE
68,"MATCH (c:Customer)-[:PURCHASED]->(:Order)-[:ORDERS]->(p:Product)-[:PART_OF]->(:Category)<-[:PART_OF]-(:Product)<-[:ORDERS]-(:Order)<-[:PURCHASED]-(:Customer),(s:Supplier)-[:SUPPLIES]->(p) RETURN c, s, p",FALSE,FALSE
69,"MATCH (c:ProductionCompany)-[:PRODUCED]->(m:Movie) WITH c, m ORDER BY m.title RETURN c.name, m.title LIMIT 1",FALSE,FALSE
70,"MATCH (c:ProductionCompany {name: 'WaltDisney'})-[:PRODUCED]->(m:Movie) WHERE m.year = '2008' RETURN c.name, m.title",FALSE,FALSE
71,MATCH (:Me)-[:RT_MENTIONS]->(u:User) RETURN u.name,TRUE,TRUE
72,"MATCH (pc:ProductionCompany)-[:PRODUCED]->(m:Movie) WHERE pc.name = 'WaltDisney' AND m.year = '2012' RETURN pc, m",FALSE,FALSE
73,"MATCH (p:Person {name: 'Keanu Reeves'})-[:KNOWS]->(q:Person) RETURN p.age, q.age",TRUE,TRUE
74,"MATCH (p:Person)-[a:ACTED_IN]->(m:Movie)<-[d:DIRECTED]-(dir:Person) RETURN p, a, m, d, dir",FALSE,FALSE
75,"MATCH (pc:ProductionCompany)-[:PRODUCED]->(m:Movie) WHERE toInteger(m.year) >= 2008 RETURN pc.name, m.title",TRUE,FALSE
76,MATCH (:Person {name: 'Andy'})-[:KNOWS]->(p:Person) RETURN p.name,FALSE,FALSE
77,MATCH (p1:Person)-[:KNOWS]->(p2:Person)<-[:KNOWS]-(p3:Person) WHERE p1 <> p3 RETURN DISTINCT p2,FALSE,FALSE
78,"MATCH (q:Question)-[:TAGGED]->(t:Tag) WHERE t.name CONTAINS 'python' RETURN max(q.viewCount), min(q.viewCount), avg(q.viewCount), count(q.viewCount)",FALSE,FALSE
79,"MATCH (c:Customer)-[:PURCHASED]->(:Order)-[:ORDERS]->(p:Product)-[:PART_OF]->(cat:Category), (s:Supplier)-[:SUPPLIES]->(p) WHERE cat.name = 'Meat' AND s.country = 'Italy' RETURN c.name, cat.name, s.companyName, p.productName",TRUE,FALSE
80,"MATCH (a:Person)-[:KNOWS]->(b:Person)-[:PARTY_TO]->(c:Crime)-[:INVESTIGATED_BY]->(o:Officer) RETURN a, b, o, count(c)",FALSE,FALSE
81,"MATCH (s1:Source)<-[:USING]-(t:Tweet)-[:RETWEETS]->(rt:Tweet) RETURN u, rt",TRUE,TRUE
82,"MATCH (p:Person) WHERE p.age <= 31 RETURN p.name, p.age",FALSE,FALSE
83,"MATCH (p:ProductionCompany)-[:PRODUCED]->(m:Movie) WHERE p.country = 'USA' AND toInteger(m.year) >= 2008 AND toInteger(m.year) <= 2012 RETURN p.name, m.title",TRUE,FALSE
84,"MATCH (p:Post)-[:post]->(u:User), (p)-[r:review]->(rev:Review) WHERE u.uid = '999' AND r.score = 4 RETURN p.location",FALSE,FALSE
85,"MATCH (:Token {text: ""AND""})-[:BEFORE]->(a:Token),       (:Token {text: ""AND""})-[:BEFORE]->(b:Token) WHERE a <> b RETURN a, b",TRUE,FALSE
86,MATCH (p:Person) WHERE p.name = 'Keanu Reeves' RETURN p.nationality,TRUE,TRUE
87,MATCH (p:Person) WHERE p.age > 40 RETURN p.name,FALSE,FALSE
88,MATCH (p:Person)-[:ACTED_IN]->(:Movie {title: 'Stand By Me'}) RETURN p,TRUE,TRUE
89,"MATCH (a:Person)-[:FOLLOWS]->(b:Person) WHERE a.name = 'James Thompson' AND b.name = 'Jessica Thompson' RETURN a, b",TRUE,FALSE
90,"MATCH (p:Person) WHERE p.born > 1969 AND p.born < 1980 RETURN p.name, p.born",TRUE,TRUE
91,MATCH (p:Person) WHERE p.name = 'Keanu Reeves' RETURN p,TRUE,TRUE
